cty,displ,cyl,drv,hwy,class,manufacturer,year
15,3.4,6,4,17,pickup,toyota,1999
15,3.4,6,4,19,pickup,toyota,1999
15,4,6,4,18,pickup,toyota,2008
16,4,6,4,20,pickup,toyota,2008
21,2,4,f,29,compact,volkswagen,1999
19,2,4,f,26,compact,volkswagen,1999
21,2,4,f,29,compact,volkswagen,2008
22,2,4,f,29,compact,volkswagen,2008
17,2.8,6,f,24,compact,volkswagen,1999
33,1.9,4,f,44,compact,volkswagen,1999
21,2,4,f,29,compact,volkswagen,1999
19,2,4,f,26,compact,volkswagen,1999
22,2,4,f,29,compact,volkswagen,2008
21,2,4,f,29,compact,volkswagen,2008
21,2.5,5,f,29,compact,volkswagen,2008
21,2.5,5,f,29,compact,volkswagen,2008
16,2.8,6,f,23,compact,volkswagen,1999
17,2.8,6,f,24,compact,volkswagen,1999
35,1.9,4,f,44,subcompact,volkswagen,1999
29,1.9,4,f,41,subcompact,volkswagen,1999
21,2,4,f,29,subcompact,volkswagen,1999
19,2,4,f,26,subcompact,volkswagen,1999
20,2.5,5,f,28,subcompact,volkswagen,2008
20,2.5,5,f,29,subcompact,volkswagen,2008
21,1.8,4,f,29,midsize,volkswagen,1999
18,1.8,4,f,29,midsize,volkswagen,1999
19,2,4,f,28,midsize,volkswagen,2008
21,2,4,f,29,midsize,volkswagen,2008
16,2.8,6,f,26,midsize,volkswagen,1999
18,2.8,6,f,26,midsize,volkswagen,1999
17,3.6,6,f,26,midsize,volkswagen,2008
