doc_id,class,class_name,text
doc00011,2,George W. Bush,"All our citizens are created equal and must be treated equally. Earlier today I asked John Ashcroft, the Attorney General, to develop specific recommendations to end racial profiling. It's wrong, and we will end it in America. In so doing, we will not hinder the work of our Nation's brave police officers. They protect us every day, often at great risk."
doc00012,2,George W. Bush,"Let the record show, I lost his city-;big time. But some things are bigger than politics. So I look forward to coming to your city, to see your faith-based programs in action. As Government promotes compassion, it also must promote justice. Too many of our citizens have cause to doubt our Nation's justice when the law points a finger of suspicion at groups instead of individuals."
doc00013,3,William J. Clinton,"This plan will not affect the 80 percent of Social Security recipients who do not pay taxes on Social Security now. Those who do not pay tax on Social Security now will not be affected by this plan. Our plan does include a broad-based tax on energy, and I want to tell you why I selected this and why I think it's a good idea. I recommend that we adopt a Btu tax on the heat content of energy as the best way to provide us with revenue to lower the deficit because it also combats pollution, promotes energy efficiency, promotes the independence, economically, of this country as well as helping to reduce the debt, and because it does not discriminate against any area. Unlike a carbon tax, that's not too hard on the coal States; unlike a gas tax, that's not too tough on people who drive a long way to work; unlike an ad valorem tax, it doesn't increase just when the price of an energy source goes up."
doc00014,2,George W. Bush,"So we're deploying reinforcements of more than 20,000 additional soldiers and marines to Iraq. The vast majority will go to Baghdad, where they will help Iraqi forces to clear and secure neighborhoods and serve as advisers embedded in Iraqi Army units. With Iraqis in the lead, our forces will help secure the city by chasing down the terrorists, insurgents, and the roaming death squads. And in Anbar Province, where Al Qaida terrorists have gathered and local forces have begun showing a willingness to fight them, we're sending an additional 4,000 United States marines, with orders to find the terrorists and clear them out. We didn't drive Al Qaida out of their safe haven in Afghanistan only to let them set up a new safe haven in a free Iraq."
doc00015,2,George W. Bush,"And for the millions of other Americans who have no health insurance at all, this deduction would help put a basic, private health insurance plan within their reach. Changing the Tax Code is a vital and necessary step to making health care affordable for more Americans. My second proposal is to help the States that are coming up with innovative ways to cover the uninsured. States that make basic private health insurance available to all their citizens should receive Federal funds to help them provide this coverage to the poor and the sick. I have asked the Secretary of Health and Human Services to work with Congress to take existing Federal funds and use them to create Affordable Choices grants."
doc00016,2,George W. Bush,"The qualities of courage and compassion that we strive for in America also determine our conduct abroad. The American flag stands for more than our power and our interests. Our Founders dedicated this country to the cause of human dignity, the rights of every person, and the possibilities of every life. This conviction leads us into the world to help the afflicted and defend the peace and confound the designs of evil men. In Afghanistan, we helped to liberate an oppressed people."
doc00017,3,William J. Clinton,"And I challenge the private sector tonight to start by connecting every children's hospital as soon as possible, so that a child in bed can stay in touch with school, family, and friends. A sick child need no longer be a child alone. We must build the second generation of the Internet so that our leading universities and national laboratories can communicate in speeds 1,000 times faster than today, to develop new medical treatments, new sources of energy, new ways of working together. But we cannot stop there. As the Internet becomes our new town square, a computer in every home, a teacher of all subjects, a connection to all cultures, this will no longer be a dream but a necessity."
doc00018,3,William J. Clinton,"Thank you very much. Mr. Speaker, Mr. President, Members of the 103d Congress, my fellow Americans:   I'm not at all sure what speech is in the TelePrompter tonight-;[laughter]-;but I hope we can talk about the state of the Union. I ask you to begin by recalling the memory of the giant who presided over this Chamber with such force and grace."
doc00019,2,George W. Bush,"Our men and women in uniform give America their best, and we owe them our support. America's veterans honored their commitment to our country through their military service. I will honor our commitment to them with a billion-dollar increase to ensure better access to quality care and faster decisions on benefit claims. My budget will improve our environment by accelerating the cleanup of toxic brownfields. And I propose we make a major investment in conservation by fully funding the Land and Water Conservation Fund."
doc00020,2,George W. Bush,"America's duty is familiar. Throughout the 20th century, small groups of men seized control of great nations, built armies and arsenals, and set out to dominate the weak and intimidate the world. In each case, their ambitions of cruelty and murder had no limit. In each case, the ambitions of Hitlerism, militarism, and communism were defeated by the will of free peoples, by the strength of great alliances, and by the might of the United States of America. Now, in this century, the ideology of power and domination has appeared again and seeks to gain the ultimate weapons of terror."
doc00021,2,George W. Bush,"In the ruins of two towers, at the western wall of the Pentagon, on a field in Pennsylvania, this Nation made a pledge, and we renew that pledge tonight: Whatever the duration of this struggle and whatever the difficulties, we will not permit the triumph of violence in the affairs of men; free people will set the course of history. Today, the gravest danger in the war on terror, the gravest danger facing America and the world, is outlaw regimes that seek and possess nuclear, chemical, and biological weapons. These regimes could use such weapons for blackmail, terror, and mass murder. They could also give or sell those weapons to terrorist allies, who would use them without the least hesitation. This threat is new."
doc00022,2,George W. Bush,"I ask Congress to reauthorize and reform trade adjustment assistance so we can help these displaced workers learn new skills and find new jobs. To build a future of energy security, we must trust in the creative genius of American researchers and entrepreneurs and empower them to pioneer a new generation of clean energy technology. Our security, our prosperity, and our environment all require reducing our dependence on oil. Last year, I asked you to pass legislation to reduce oil consumption over the next decade, and you responded. Together, we should take the next steps."
doc00023,3,William J. Clinton,"Now we intend to mobilize millions of Americans to serve in thousands of ways. Citizen service is an American responsibility which all Americans should embrace, and I ask your support for that endeavor. I'd like to make just one last point about our national community. Our economy is measured in numbers and statistics, and it's very important. But the enduring worth of our Nation lies in our shared values and our soaring spirit."
doc00024,1,Barack Obama,"They know that broad-based economic growth requires a balanced approach to deficit reduction, with spending cuts and revenue and with everybody doing their fair share. And that's the approach I offer tonight. On Medicare, I'm prepared to enact reforms that will achieve the same amount of health care savings by the beginning of the next decade as the reforms proposed by the bipartisan Simpson-Bowles Commission. Already, the Affordable Care Act is helping to slow the growth of health care costs. And the reforms I'm proposing go even further."
doc00025,3,William J. Clinton,"In one year, with NAFTA, with GATT, with our efforts in Asia and the national export strategy, we did more to open world markets to American products than at any time in the last two generations. That means more jobs and rising living standards for the American people, low deficits, low inflation, low interest rates, low trade barriers, and high investments. These are the building blocks of our recovery. But if we want to take full advantage of the opportunities before us in the global economy, you all know we must do more. As we reduce defense spending, I ask Congress to invest more in the technologies of tomorrow."
doc00026,2,George W. Bush,"Different threats require different strategies. Along with nations in the region, we're insisting that North Korea eliminate its nuclear program. America and the international community are demanding that Iran meet its commitments and not develop nuclear weapons. America is committed to keeping the world's most dangerous weapons out of the hands of the most dangerous regimes. When I came to this rostrum on September the 20th, 2001, I brought the police shield of a fallen officer, my reminder of lives that ended and a task that does not end."
doc00027,1,Barack Obama,"And we've sent a message from the Afghan border to the Arabian Peninsula to all parts of the globe: We will not relent, we will not waver, and we will defeat you. American leadership can also be seen in the effort to secure the worst weapons of war. Because Republicans and Democrats approved the new START Treaty, far fewer nuclear weapons and launchers will be deployed. Because we rallied the world, nuclear materials are being locked down on every continent so they never fall into the hands of terrorists. Because of a diplomatic effort to insist that Iran meet its obligations, the Iranian Government now faces tougher sanctions, tighter sanctions than ever before."
doc00028,3,William J. Clinton,"And we're now replacing welfare checks with paychecks. Last year, after a record 4-year decline in welfare rolls, I challenged our Nation to move 2 million more Americans off welfare by the year 2000. I'm pleased to report we have also met that goal, 2 full years ahead of schedule. This is a grand achievement, the sum of many acts of individual courage, persistence, and hope. For 13 years, Elaine Kinslow of Indianapolis, Indiana, was on and off welfare."
doc00029,3,William J. Clinton,"But in his honor, may we, too, always remember who we are, where we come from, and who sent us here. If we do that we will return over and over again to the principle that if we simply give ordinary people equal opportunity, quality education, and a fair shot at the American dream, they will do extraordinary things. We gather tonight in a world of changes so profound and rapid that all nations are tested. Our American heritage has always been to master such change, to use it to expand opportunity at home and our leadership abroad. But for too long and in too many ways, that heritage was abandoned, and our country drifted."
doc00030,1,Barack Obama,"We've also taken the fight to Al Qaida and their allies abroad. In Afghanistan, our troops have taken Taliban strongholds and trained Afghan security forces. Our purpose is clear: By preventing the Taliban from reestablishing a stranglehold over the Afghan people, we will deny Al Qaida the safe haven that served as a launching pad for 9/11. Thanks to our heroic troops and civilians, fewer Afghans are under the control of the insurgency. There will be tough fighting ahead, and the Afghan Government will need to deliver better governance."
doc00031,2,George W. Bush,"Our second great responsibility to our children and grandchildren is to honor and to pass along the values that sustain a free society. So many of my generation, after a long journey, have come home to family and faith and are determined to bring up responsible, moral children. Government is not the source of these values, but Government should never undermine them. Because marriage is a sacred institution and the foundation of society, it should not be redefined by activist judges. For the good of families, children, and society, I support a constitutional amendment to protect the institution of marriage."
doc00032,1,Barack Obama,"What we can do--what America does better than anyone else--is spark the creativity and imagination of our people. We're the nation that put cars in driveways and computers in offices; the nation of Edison and the Wright brothers, of Google and Facebook. In America, innovation doesn't just change our lives. It is how we make our living. Our free enterprise system is what drives innovation."
doc00033,3,William J. Clinton,"Let's give them a hand. Stand up, please. Second, to have the best schools, we must have the best teachers. Most of us in this Chamber would not be here tonight without the help of those teachers; I know that I wouldn't be here. For years, many of our educators, led by North Carolina's Governor Jim Hunt and the National Board for Professional Teaching Standards, have worked very hard to establish nationally accepted credentials for excellence in teaching."
doc00034,3,William J. Clinton,"It embraces our churches and synagogues, our youth groups and our schools. I challenge Congress not to cut our support for drug-free schools. People like the D.A.R.E. officers are making a real impression on grade-school children that will give them the strength to say no when the time comes. Meanwhile, we continue our efforts to cut the flow of drugs into America. For the last 2 years, one man in particular has been on the front lines of that effort."
doc00035,1,Barack Obama,"It lives on in the woman who said that even though she and her neighbors have felt the pain of recession, ""We are strong. We are resilient. We are American."" It lives on in the 8-year-old boy in Louisiana who just sent me his allowance and asked if I would give it to the people of Haiti. And it lives on in all the Americans who've dropped everything to go someplace they've never been and pull people they've never known from the rubble, prompting chants of ""U.S.A.!"
doc00036,1,Barack Obama,"And when you try to do big things and make big changes, it stirs passions and controversy. That's just how it is. Those of us in public office can respond to this reality by playing it safe and avoid telling hard truths and pointing fingers. We can do what's necessary to keep our poll numbers high and get through the next election, instead of doing what's best for the next generation. But I also know this: If people had made that decision 50 years ago or 100 years ago or 200 years ago, we wouldn't be here tonight."
doc00037,3,William J. Clinton,There are some people who literally do not understand the impact of this problem on people's lives. And all you have to do is go out and listen to them. Just go talk to them anywhere in any congressional district in this country. They're Republicans and Democrats and independents; it doesn't have a lick to do with party. They think we don't get it.
doc00038,1,Barack Obama,"No one built this country on their own. This Nation is great because we built it together. This Nation is great because we worked as a team. This Nation is great because we get each other's backs. And if we hold fast to that truth, in this moment of trial, there is no challenge too great, no mission too hard."
doc00039,1,Barack Obama,"Both parties agree on these ideas. So put them in a bill and get it on my desk this year. Innovation also demands basic research. Today, the discoveries taking place in our federally financed labs and universities could lead to new treatments that kill cancer cells, but leave healthy ones untouched, new lightweight vests for cops and soldiers that can stop any bullet. Don't gut these investments in our budget."
doc00040,2,George W. Bush,"We'll also fund additional research in cutting-edge methods of producing ethanol, not just from corn but from wood chips and stalks or switchgrass. Our goal is to make this new kind of ethanol practical and competitive within 6 years. Breakthroughs on this and other new technologies will help us reach another great goal: to replace more than 75 percent of our oil imports from the Middle East by 2025. By applying the talent and technology of America, this country can dramatically improve our environment, move beyond a petroleum-based economy, and make our dependence on Middle Eastern oil a thing of the past. And to keep America competitive, one commitment is necessary above all: We must continue to lead the world in human talent and creativity."
doc00041,2,George W. Bush,"Many products from these nations now enter America duty free, yet many of our products face steep tariffs in their markets. These agreements will level the playing field. They will give us better access to nearly 100 million customers. They will support good jobs for the finest workers in the world, those whose products say ""Made in the U.S.A."" These agreements also promote America's strategic interests."
doc00042,2,George W. Bush,"The economy grows when Americans have more money to spend and invest, and the best and fairest way to make sure Americans have that money is not to tax it away in the first place. I am proposing that all the income-tax reductions set for 2004 and 2006 be made permanent and effective this year. And under my plan, as soon as I've signed the bill, this extra money will start showing up in workers' paychecks. Instead of gradually reducing the marriage penalty, we should do it now. Instead of slowly raising the child credit to $1,000, we should send the checks to American families now."
doc00043,2,George W. Bush,"Our Nation is strong and steadfast. The cause we serve is right, because it is the cause of all mankind. The momentum of freedom in our world is unmistakable, and it is not carried forward by our power alone. We can trust in that greater power who guides the unfolding of the years. And in all that is to come, we can know that His purposes are just and true."
doc00044,3,William J. Clinton,"And we will seek to cooperate with Russia to solve regional problems, while insisting that if Russian troops operate in neighboring states, they do so only when those states agree to their presence and in strict accord with international standards. But we must also remember as these nations chart their own futures-;and they must chart their own futures-;how much more secure and more prosperous our own people will be if democratic and market reforms succeed all across the former Communist bloc. Our policy has been to support that move, and that has been the policy of the Congress. We should continue it. That is why I went to Europe earlier this month, to work with our European partners, to help to integrate all the former Communist countries into a Europe that has a possibility of becoming unified for the first time in its entire history, its entire history, based on the simple commitments of all nations in Europe to democracy, to free markets, and to respect for existing borders."
doc00045,2,George W. Bush,"All of us, parents and schools and government, must work together to counter the negative influence of the culture and to send the right messages to our children. A strong America must also value the institution of marriage. I believe we should respect individuals as we take a principled stand for one of the most fundamental, enduring institutions of our civilization. Congress has already taken a stand on this issue by passing the Defense of Marriage Act, signed in 1996 by President Clinton. That statute protects marriage under Federal law as a union of a man and a woman and declares that one State may not redefine marriage for other States."
doc00046,1,Barack Obama,"When you put on that uniform, it doesn't matter if you're Black or White, Asian, Latino, Native American; conservative, liberal; rich, poor; gay, straight. When you're marching into battle, you look out for the person next to you or the mission fails. When you're in the thick of the fight, you rise or fall as one unit, serving one nation, leaving no one behind. You know, one of my proudest possessions is the flag that the SEAL team took with them on the mission to get bin Laden. On it are each of their names."
doc00047,3,William J. Clinton,"We have a smaller Government, but a stronger Nation. We are moving steadily toward an even stronger America in the 21st century: an economy that offers opportunity, a society rooted in responsibility, and a nation that lives as a community. First, Americans in this Chamber and across our Nation have pursued a new strategy for prosperity: fiscal discipline to cut interest rates and spur growth; investments in education and skills, in science and technology and transportation, to prepare our people for the new economy; new markets for American products and American workers. When I took office, the deficit for 1998 was projected to be $357 billion and heading higher. This year, our deficit is projected to be $10 billion and heading lower."
doc00048,1,Barack Obama,"Ford is bringing jobs back from Mexico. And this year, Apple will start making Macs in America again. There are things we can do right now to accelerate this trend. Last year, we created our first manufacturing innovation institute in Youngstown, Ohio. A once-shuttered warehouse is now a state-of-the-art lab where new workers are mastering the 3-D printing that has the potential to revolutionize the way we make almost everything."
doc00049,1,Barack Obama,"New laws will only pass with support from Democrats and Republicans. We will move forward together or not at all, for the challenges we face are bigger than party and bigger than politics. At stake right now is not who wins the next election. After all, we just had an election. At stake is whether new jobs and industries take root in this country or somewhere else."
doc00050,1,Barack Obama,"It is time to leave behind the divisive battles of the past. It is time to move forward as one Nation. We should have no illusions about the work ahead of us. Reforming our schools, changing the way we use energy, reducing our deficit, none of this will be easy. All of it will take time."
doc00051,2,George W. Bush,"Reading scores are on the rise. African American and Hispanic students posted alltime highs. Now we must work together to increase accountability, add flexibilities for States and districts, reduce the number of high school dropouts, provide extra help for struggling schools. Members of Congress, the No Child Left Behind Act is a bipartisan achievement. It is succeeding, and we owe it to America's children, their parents, and their teachers to strengthen this good law."
doc00052,1,Barack Obama,"We have gone from a bystander to a leader in the fight against climate change. We're helping developing countries to feed themselves and continuing the fight against HIV/AIDS. And we are launching a new initiative that will give us the capacity to respond faster and more effectively to bioterrorism or an infectious disease, a plan that will counter threats at home and strengthen public health abroad. As we have for over 60 years, America takes these actions because our destiny is connected to those beyond our shores. But we also do it because it is right."
doc00053,2,George W. Bush,"They are from Pennsylvania, but they could be from any one of your districts. Steven is the network administrator for a school district. Josefina is a Spanish teacher at a charter school. And they have a 2-year-old daughter. Steven and Josefina tell me they pay almost $8,000 a year in Federal income taxes."
doc00054,1,Barack Obama,"We measure progress by the success of our people, by the jobs they can find and the quality of life those jobs offer, by the prospects of a small-business owner who dreams of turning a good idea into a thriving enterprise, by the opportunities for a better life that we pass on to our children. That's the project the American people want us to work on--together. Now, we did that in December. Thanks to the tax cuts we passed, Americans' paychecks are a little bigger today. Every business can write off the full cost of new investments that they make this year."
doc00055,2,George W. Bush,"They want to kill Americans, kill democracy in the Middle East, and gain the weapons to kill on an even more horrific scale. In the sixth year since our Nation was attacked, I wish I could report to you that the dangers have ended. They have not. And so it remains the policy of this Government to use every lawful and proper tool of intelligence, diplomacy, law enforcement, and military action to do our duty, to find these enemies, and to protect the American people. This war is more than a clash of arms; it is a decisive ideological struggle."
doc00056,2,George W. Bush,"And even some of the youngest understand that we are living in historic times. Last month a girl in Lincoln, Rhode Island, sent me a letter. It began, ""Dear George W. Bush. If there's anything you know I, Ashley Pearson, age 10, can do to help anyone, please send me a letter and tell me what I can do to save our country."""
doc00057,1,Barack Obama,"A great teacher can offer an escape from poverty to the child who dreams beyond his circumstance. Every person in this Chamber can point to a teacher who changed the trajectory of their lives. Most teachers work tirelessly, with modest pay, sometimes digging into their own pocket for school supplies, just to make a difference. Teachers matter. So instead of bashing them or defending the status quo, let's offer schools a deal."
doc00058,3,William J. Clinton,"For we are the keepers of a sacred trust, and we must be faithful to it in this new and very demanding era. Over 200 years ago, our Founders changed the entire course of human history by joining together to create a new country based on a single powerful idea: ""We hold these truths to be self-evident, that all men are created equal, . . . endowed by their Creator with certain unalienable Rights, and among these are Life, Liberty and the pursuit of Happiness."" It has fallen to every generation since then to preserve that idea, the American idea, and to deepen and expand its meaning in new and different times: to Lincoln and to his Congress to preserve the Union and to end slavery; to Theodore Roosevelt and Woodrow Wilson to restrain the abuses and excesses of the industrial revolution and to assert our leadership in the world; to Franklin Roosevelt to fight the failure and pain of the Great Depression and to win our country's great struggle against fascism; and to all our Presidents since to fight the cold war. Especially, I recall two who struggled to fight that cold war in partnership with Congresses where the majority was of a different party: to Harry Truman, who summoned us to unparalleled prosperity at home and who built the architecture of the cold war; and to Ronald Reagan, whom we wish well tonight and who exhorted us to carry on until the twilight struggle against communism was won. In another time of change and challenge, I had the honor to be the first President to be elected in the post-cold-war era, an era marked by the global economy, the information revolution, unparalleled change and opportunity and insecurity for the American people."
doc00059,3,William J. Clinton,"Every one of us has a role to play on this team. Thank you, General McCaffrey, for agreeing to serve your country one more time. Our fifth challenge: to leave our environment safe and clean for the next generation. Because of a generation of bipartisan effort we do have cleaner water and air, lead levels in children's blood has been cut by 70 percent, toxic emissions from factories cut in half. Lake Erie was dead, and now it's a thriving resource."
doc00060,3,William J. Clinton,"America is far more than a place. It is an idea, the most powerful idea in the history of nations. And all of us in this Chamber, we are now the bearers of that idea, leading a great people into a new world. A child born tonight will have almost no memory of the 20th century. Everything that child will know about America will be because of what we do now to build a new century."
doc00061,1,Barack Obama,"No workers are more productive than ours. No country has more successful companies or grants more patents to inventors and entrepreneurs. We're the home to the world's best colleges and universities, where more students come to study than any place on Earth. What's more, we are the first nation to be founded for the sake of an idea: the idea that each of us deserves the chance to shape our own destiny. That's why centuries of pioneers and immigrants have risked everything to come here."
doc00062,1,Barack Obama,"It's why our food is safe to eat, our water is safe to drink, and our air is safe to breathe. It's why we have speed limits and child labor laws. It's why last year, we put in place consumer protections against hidden fees and penalties by credit card companies and new rules to prevent another financial crisis. And it's why we passed reform that finally prevents the health insurance industry from exploiting patients. Now, I have heard rumors that a few of you still have concerns about our new health care law."
doc00063,2,George W. Bush,"Unemployment is low; inflation is low; wages are rising. This economy is on the move, and our job is to keep it that way, not with more government but with more enterprise. Next week, I'll deliver a full report on the state of our economy. Tonight I want to discuss three economic reforms that deserve to be priorities for this Congress. First, we must balance the Federal budget."
doc00064,1,Barack Obama,"But credit has stopped flowing the way it should. Too many bad loans from the housing crisis have made their way onto the books of too many banks. And with so much debt and so little confidence, these banks are now fearful of lending out any more money to households, to businesses, or even to each other. And when there is no lending, families can't afford to buy homes or cars, so businesses are forced to make layoffs. Our economy suffers even more, and credit dries up even further."
doc00065,1,Barack Obama,"And to support that innovation, we will invest $15 billion a year to develop technologies like wind power and solar power, advanced biofuels, clean coal, and more efficient cars and trucks built right here in America. Speaking of our auto industry, everyone recognizes that years of bad decisionmaking and a global recession have pushed our automakers to the brink. We should not, and will not, protect them from their own bad practices. But we are committed to the goal of a retooled, reimagined auto industry that can compete and win. Millions of jobs depend on it; scores of communities depend on it."
doc00066,1,Barack Obama,"Meanwhile, companies that choose to stay in America get hit with one of the highest tax rates in the world. It makes no sense, and everyone knows it. So let's change it. First, if you're a business that wants to outsource jobs, you shouldn't get a tax deduction for doing it. That money should be used to cover moving expenses for companies like Master Lock that decide to bring jobs home."
doc00067,3,William J. Clinton,"And our senior citizens have made us what we are. Now, my budget cuts a lot. But it protects education, veterans, Social Security, and Medicare, and I hope you will do the same thing. You should, and I hope you will. And when we give more flexibility to the States, let us remember that there are certain fundamental national needs that should be addressed in every State, North and South, East and West: Immunization against childhood disease, school lunches in all our schools, Head Start, medical care and nutrition for pregnant women and infants, all these things, all these things are in the national interest."
doc00068,2,George W. Bush,"The only way to protect our people, the only way to secure the peace, the only way to control our destiny is by our leadership. So the United States of America will continue to lead. Abroad, our Nation is committed to an historic, long-term goal: We seek the end of tyranny in our world. Some dismiss that goal as misguided idealism. In reality, the future security of America depends on it."
doc00069,1,Barack Obama,"We're not just handing out money. We're issuing a challenge. We're telling America's scientists and engineers that if they assemble teams of the best minds in their fields and focus on the hardest problems in clean energy, we'll fund the Apollo projects of our time. At the California Institute of Technology, they're developing a way to turn sunlight and water into fuel for our cars. At Oak Ridge National Laboratory, they're using supercomputers to get a lot more power out of our nuclear facilities."
doc00070,1,Barack Obama,"And when asked how he did that, Brian said, ""That's just the way we're made."" That's just the way we're made. We may do different jobs and wear different uniforms and hold different views than the person beside us. But as Americans, we all share the same proud title: We are citizens. It's a word that doesn't just describe our nationality or legal status."
doc00071,2,George W. Bush,"Our national parks have a special place in our country's life. Our parks are places of great natural beauty and history. As good stewards, we must leave them better than we found them. So I propose providing $4.9 billion over 5 years for the upkeep of these national treasures. And my budget adopts a hopeful new approach to help the poor and the disadvantaged."
doc00072,1,Barack Obama,"I never thought that the mere fact of my election would usher in peace and harmony and--[Laughter]--some postpartisan era. I knew that both parties have fed divisions that are deeply entrenched. And on some issues, there are simply philosophical differences that will always cause us to part ways. These disagreements, about the role of government in our lives, about our national priorities and our national security, they've been taking place for over 200 years. They're the very essence of our democracy."
doc00073,3,William J. Clinton,"So I challenge Congress to consolidate 70 overlapping, antiquated job training programs into a simple voucher worth $2,600 for unemployed or underemployed workers to use as they please for community college tuition or other training. This is a ""GI bill"" for America's workers we should all be able to agree on. More and more Americans are working hard without a raise. Congress sets the minimum wage. Within a year, the minimum wage will fall to a 40-year low in purchasing power."
doc00074,2,George W. Bush,"We can produce more energy at home while protecting our environment, and we must. We can produce more electricity to meet demand, and we must. We can promote alternative energy sources and conservation, and we must. America must become more energy independent, and we will. Perhaps the biggest test of our foresight and courage will be reforming Medicare and Social Security."
doc00075,1,Barack Obama,"U.S.A.! U.S.A.!"" when another life was saved. The spirit that has sustained this Nation for more than two centuries lives on in you, its people. We have finished a difficult year."
doc00076,1,Barack Obama,"Now we must be that nation again, and that is why, even as it cuts back on programs we don't need, the budget I submit will invest in the three areas that are absolutely critical to our economic future: energy, health care, and education. It begins with energy. We know the country that harnesses the power of clean, renewable energy will lead the 21st century. And yet, it is China that has launched the largest effort in history to make their economy energy efficient. We invented solar technology, but we've fallen behind countries like Germany and Japan in producing it."
doc00077,3,William J. Clinton,"To middle class Americans who have paid a great deal for the last 12 years and from whom I ask a contribution tonight, I will say again as I did on Monday night: You're not going alone any more, you're certainly not going first, and you're not going to pay more for less as you have too often in the past. I want to emphasize the facts about this plan: 98.8 percent of America's families will have no increase in their income tax rates, only 1.2 percent at the top. Let me be clear: There will also be no new cuts in benefits for Medicare. As we move toward the 4th year, with the explosion in health care costs, as I said, projected to account for 50 percent of the growth of the deficit between now and the year 2000, there must be planned cuts in payments to providers, to doctors, to hospitals, to labs, as a way of controlling health care costs. But I see these only as a stopgap until we can reform the entire health care system."
doc00078,1,Barack Obama,"We've all paid the price for lenders who sold mortgages to people who couldn't afford them and buyers who knew they couldn't afford them. That's why we need smart regulations to prevent irresponsible behavior. Rules to prevent financial fraud or toxic dumping or faulty medical devices, these don't destroy the free market. They make the free market work better. There's no question that some regulations are outdated, unnecessary, or too costly."
