median_house_value,population,latitude,longitude,total_units,vacant_units,median_rooms,mean_household_size_owners,mean_household_size_renters,built_2005_or_later,built_2000_to_2004,built_1990s,built_1980s,built_1970s,built_1960s,built_1950s,built_1940s,built_1939_or_earlier,bedrooms_0,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5_or_more,owners,renters,median_household_income,mean_household_income
682.2,2929,37.830348,-122.250622,1892,207,3.6,1.98,1.56,0.7,2.5,0.6,3.2,9.2,12.6,11,5.4,54.8,7.8,40.1,35.8,12.9,3.3,0,39.8,60.2,73.899,94.146
579.7,2283,37.825832,-122.251044,1773,174,3.3,1.81,1.43,0.6,0,1.1,3.7,14.3,21.2,8.5,8,42.6,15.3,57.6,15.4,7.6,3.2,0.8,10.8,89.2,50.684,67.765
918.9,3483,37.837583,-122.229689,1457,64,7.2,2.48,1.86,0,2.5,16.6,0.7,0.6,17.9,19.6,12.1,30.1,0,11,19.6,34,28.9,6.5,80.8,19.2,152.853,198.644
857.4,5314,37.844684,-122.2158,2433,233,6,2.47,1.93,1.1,3.9,45.5,2.3,4.2,8.1,7.9,7.7,19.4,0,12,29.8,30.1,22.1,6.1,84.5,15.5,133.347,165.338
832,5784,37.834622,-122.202426,2606,134,6.4,2.32,2.74,0.6,4,5.6,3.8,18.3,19.6,22.6,16.9,8.6,0.6,0.7,21.4,45.2,23.3,8.9,83.3,16.7,125.714,152.845
770.8,1954,37.812155,-122.207488,842,47,7.4,2.56,2.6,0,0,1.9,1.7,7.2,11.3,17.3,18.4,42.2,0,2.9,18.3,49,23,6.8,83.5,16.5,137.232,138.297
648.9,2684,37.804704,-122.213272,1337,51,4.6,2.51,1.42,0,0,0,1.2,2.3,19.5,16.4,9.7,50.9,9.2,22.7,34.9,25.7,6.2,1.3,57.7,42.3,88.833,88.446
599.4,4129,37.80394,-122.221525,2032,56,5.1,2.23,2.3,0,0,0,5.2,2.3,0,11.1,6.2,75.2,0.6,21,39.2,29.5,6.4,3.2,60,40,65.158,94.377
721.2,3136,37.808241,-122.225708,1663,231,5.8,2.62,1.67,0,0,0,1.7,3.5,6.9,3,13.1,71.8,2.6,20.6,26.5,30.5,17.8,2,63,37,108.472,133.83
890.7,4197,37.811496,-122.232389,1669,101,7.5,2.8,1.83,0,2.9,0.6,0.8,1.7,2.3,6.2,7,78.4,0,3.9,7.7,54.9,26.8,6.7,91.1,8.9,166.554,212.536
569.7,4597,37.805121,-122.244707,2660,287,4.2,2.73,1.64,0,0,0.4,0.8,5.2,9.7,17.3,14.6,52.1,4.6,37.9,30.5,16.8,7.5,2.7,23.8,76.2,59.332,72.401
438,2603,37.802213,-122.25137,1680,63,3.5,1.51,1.65,0,2.7,0.7,3.1,12.3,15.9,10.9,6.4,48,14.4,42.4,36.8,2.7,2.9,0.7,11.9,88.1,61.75,73.818
528.8,2530,37.798371,-122.254529,1623,98,2.7,2.22,1.75,0.2,0,0,9.1,9.3,11.7,11.5,11.4,46.8,20.7,64.4,10.6,4.1,0,0.2,3.9,96.1,20.787,34.79
325,3957,37.796502,-122.249274,1815,259,3.3,3.38,2.23,0,0,0.8,1.8,10.6,8.8,13.3,14,50.8,15.1,43.3,23.6,10.2,5.7,2.1,18.3,81.7,27.36,41.809
320.4,3114,37.793393,-122.24578700000001,1284,188,3.4,2.33,2.21,0,0,0,10.4,5.7,5.5,19.2,13.6,45.7,9.2,44.2,29,14.3,0,3.3,21.2,78.8,30.534,42.939
462.3,3137,37.800774,-122.237766,1539,142,3.8,3.24,1.88,0,0.6,3.1,1,1.6,10.7,10.2,5.1,67.7,11.3,41.8,18.4,18.6,6.2,3.8,24.1,75.9,41.82,53.145
394,3243,37.797944,-122.229405,1530,322,3.7,3.23,2.07,0,0,0,12.1,3.6,14.9,16.3,19.8,33.3,13.4,32.7,32.8,16.7,3.6,0.8,29.6,70.4,43.75,55.855
353.3,3965,37.793907,-122.233227,1433,135,4.8,3.06,3.05,0,1,2.9,0.8,2.9,7.4,10.9,22.5,51.6,2.4,11,39.6,34.2,8.1,4.7,42.1,57.9,38.472,48.021
571.7,3910,37.787735,-122.236032,1169,169,4.3,4.2,3.28,0,2.2,0,6.3,7.4,8,18.5,14.4,43.3,2.6,27.9,20,43.8,5.7,0,21.6,78.4,38.879,44.86
332.8,3035,37.79099,-122.241014,1054,24,4.5,3.17,3.23,6.9,0,2.6,5.5,9,4.9,15.7,15,40.4,4.4,20.2,43.3,27.1,4.1,0.9,35.8,64.2,38.523,43.573
402.1,3450,37.792134,-122.252325,1589,175,3.2,3.93,2.2,0,2.8,4.5,13.5,13.7,6.2,16.3,11.6,31.5,14.5,42,19.9,18.8,2.6,2.2,7.9,92.1,24.922,45.824
348.9,4381,37.775082,-122.229059,1606,241,4.4,2.84,2.73,11.6,1.7,29,5.5,1.6,4.5,0,6.8,39.2,2.4,20.9,35.6,33.7,5,2.4,28.1,71.9,52.917,59.223
416.3,4649,37.784942,-122.23063,1607,226,4,3.69,3.76,1.9,1.1,6.9,2.6,12.1,6.6,3.4,31.1,34.3,7.6,30.5,33.5,20.5,6.8,1.1,15.5,84.5,29.727,43.231
304.9,4113,37.789134,-122.225086,1368,169,4.5,3.68,3.26,1.8,1.6,0,8.4,15.4,13.2,9.1,5.7,44.9,6.7,20.2,31.1,20.9,17.2,4,42.3,57.7,37.731,48.206
405.1,2145,37.794392,-122.22175,803,46,4.4,3.33,2.29,0,1.5,5.4,8.6,0,18.7,7.1,14.8,44,9.7,8.1,41,39.5,1.5,0.2,44.3,55.7,48.694,56.143
342.1,5930,37.788388,-122.217093,2059,365,4.4,3.82,2.91,1.4,2.4,5.3,0.5,5.2,7.9,14.3,22,40.9,2.1,18.2,45.6,23.8,8.9,1.5,39.3,60.7,34.669,53.048
384.9,4596,37.793538,-122.208333,1914,110,4.2,2.6,2.58,0,2.8,1.9,9.8,5.6,16.7,10,16.8,36.3,0.8,23.9,53.3,20.7,1.3,0,37.9,62.1,49.357,53.55
351,2493,37.795766,-122.214744,1003,121,4.4,2.8,2.37,0,1.1,6,3.9,18.7,21.8,5.6,11.3,31.6,0,26.1,39.4,21.2,11.3,2,43.3,56.7,50.793,64.401
540,5048,37.802231,-122.20407,2363,221,5.2,2.5,1.9,3.7,0.3,6.4,3,6.3,10.5,8.6,20.6,40.5,1.9,10,41.8,39.2,4.7,2.5,69.3,30.7,94.565,108.294
524.9,3428,37.796987,-122.195694,1505,133,5,2.59,2.55,0,0,0,3.5,17.9,6.6,12.2,20.1,39.7,0,14.9,37.1,34.9,9.2,3.9,67.7,32.3,72.568,86.191
556.5,3719,37.792556,-122.191739,1626,100,5.2,2.51,2.58,0.7,0.7,4,6.7,10.6,10.4,17,15.6,34.4,0.6,4.4,48.4,27.2,17.5,1.8,61,39,77.097,110.022
352.3,3414,37.783072,-122.214771,1126,120,4.1,3.3,3.83,7.2,0,4.8,0,23.2,14.5,7.5,18.5,24.4,6.9,22.5,48.6,14.7,6,1.4,25.1,74.9,29.432,47.516
480.4,6746,37.778084,-122.219368,1916,242,3.8,3.26,3.53,1.9,3.8,0.6,1.3,7.9,9.4,2.4,16,56.7,15.9,27.5,29,18.6,5.8,3.3,25.3,74.7,36.667,47.252
202,2598,37.766422,-122.208745,794,51,4.8,4.32,3.4,0,0,1.5,3.5,1.8,11.8,17.3,13.2,50.9,8.9,9.8,29,37.8,10.8,3.7,34.1,65.9,43.224,56.806
293.5,3954,37.770995,-122.206895,1196,78,4.6,3.83,3.54,3.7,0,0.7,5.3,5,4.7,15.6,15,50.1,6.7,22.8,26.8,36.9,0.9,5.9,33.6,66.4,36.552,53.311
425.8,4109,37.776356,-122.193265,1913,176,5.7,2.48,2.1,0,0.8,0.6,2.8,0.6,1,6.3,19.4,68.4,5.5,2.4,45.3,39.6,6.3,0.9,80.7,19.3,69.637,82.043
413.9,2425,37.782023,-122.189557,816,117,5.4,2.51,3.94,0,4.7,0,3.7,3.6,4,21.6,22.2,40.3,0,2.8,45.3,37.9,8,6,80,20,60.469,71.105
717.6,2671,37.802069,-122.181962,1050,68,6.6,2.29,2.97,1.4,9.3,10.1,8.1,15.5,16.3,29,7.5,2.8,0.9,0.7,11.2,60.7,18.7,7.9,86.3,13.7,115.729,134.553
686.7,5991,37.78272,-122.15649,2769,261,6.1,2.34,2.12,2.9,6,5.1,22.2,11.4,26.7,9.5,12.2,3.9,1.7,5.4,23,39.9,26.2,3.9,80.8,19.2,108.468,139.518
399.3,4054,37.774619,-122.176128,1947,284,4.5,2.19,2.45,1.1,0,0,11,8.8,6.7,17.4,21.7,33.3,1.1,15.6,48.9,28.1,5.5,0.7,50,50,50.186,61.334
391.7,4167,37.770292,-122.164941,1941,140,5.3,2.7,2.83,0,0,3.7,6.7,1,13.9,21.7,30.1,22.9,0,10.7,40.1,37.4,11.5,0.4,69.1,30.9,52.075,69.759
264.6,3323,37.764837,-122.17107,1413,290,4.9,3.09,3.25,0.5,1.2,3.9,0,4,2.2,9.4,28,50.8,0.7,17.2,44,33.4,3,1.6,50.9,49.1,35.781,48.911
333.4,4972,37.760259,-122.178894,1768,248,4.8,3.54,3.28,0.6,1.1,1.2,8.5,5.8,9,24.1,27,22.6,1.8,8.7,54.3,28.2,6.3,0.7,51.3,48.8,36.429,43.402
280,5492,37.764969,-122.183777,1971,286,4.9,3.54,3.2,0,11.3,9.2,1.8,2.5,7.4,10,20.6,37.3,1.6,18.5,45.2,23.1,8.2,3.4,44.9,55.1,33.539,47.571
317.4,7207,37.768332,-122.18978,2616,542,4.7,2.93,3.19,0.9,5.1,4.2,2.1,9.5,11.1,9,14.2,43.9,4.2,15.3,45.1,32.9,2.1,0.4,46.8,53.2,40.68,46.5
347.3,5547,37.759438,-122.196713,1899,207,4.4,3.97,2.9,10.9,10.4,3.5,4.2,3.8,7.7,18.4,28.3,12.7,1.3,16.6,41.5,36.1,2.3,2.3,27.4,72.6,22.587,32.622
222.5,3414,37.755682,-122.186029,1117,131,4.2,3.92,2.75,0,1.2,15,15.6,7.9,9.3,7.2,25.1,18.9,0,24.7,44.4,23,7,0.9,33.5,66.5,21.216,29.07
275,3552,37.734916,-122.188832,1117,67,5.1,3.22,3.94,0,0,9.3,3.8,9.5,1.7,25.5,40.8,9.4,0,2.1,32.2,50.5,9.1,6,43.2,56.8,35.357,45.816
268.4,2255,37.732071,-122.183268,704,54,4.9,3.8,3.71,7.8,0,5,3.1,0,10.7,14.3,48.6,10.5,0,0,48.3,37.2,14.5,0,66,34,59.655,68.738
283.1,3152,37.729406,-122.178207,980,115,4.7,3.42,3.21,1.9,0,13.7,1.7,2,9.9,18.8,49.6,2.3,0,4.7,47.1,42.1,6,0,63.4,36.6,40.766,45.616
307.9,4306,37.745747,-122.176564,1247,200,4.7,4.89,3.81,3.9,0,1.1,2.4,6,13.2,15.1,14.2,44.1,4.3,8.4,56.9,23.6,5.3,1.5,45.3,54.7,49.083,56.453
348.6,3122,37.751321,-122.180804,1034,174,4.8,3.99,4.05,6.3,2.7,0,0,1.4,12.5,22.4,26,28.7,2.5,11.5,41.3,32.8,11.9,0,33.7,66.3,34.167,47.78
354.4,5063,37.753377,-122.172472,1674,219,4.8,4,3.7,0,0,5.8,3.9,9.6,18.6,23.2,10.9,28.1,2.6,4.4,47.2,32.5,11.3,2,36.4,63.6,41.778,51.337
264.9,4696,37.75562,-122.165716,1792,294,4.4,3.71,2.78,0,1.9,3.7,4.7,4.6,16.5,19.9,12.3,36.6,0.7,17.2,49.8,29.6,2.6,0,32.6,67.4,35.658,43.381
585.8,3308,37.760102,-122.134933,1481,77,6.2,2.32,1.88,0.9,0.3,0.7,6.5,18.6,19.9,34.4,12.4,6.5,2.6,0.7,13.1,55.8,23.5,4.3,90.7,9.3,108.214,119.078
548.7,2805,37.74341,-122.135552,1228,64,6.1,2.29,4.2,0,0.2,1.1,6.3,12.9,20.5,26.5,18,14.4,0,3,24.2,55,16.9,0.9,91.6,8.4,77,92.989
370.4,2406,37.747626,-122.153917,1045,64,5.3,2.68,3.28,0,0,6.8,14.7,9.1,4.2,28.6,18.3,18.3,0.9,11.5,28.7,41.5,12.9,4.5,52,48,41.25,59.405
262.5,3062,37.745759,-122.157499,1245,188,4.5,2.42,3.43,0.7,0,5.4,5.8,9.4,7.2,17.2,31.2,23.1,3.8,9.7,59.8,21,4.9,0.8,48,52,40.474,51.661
271.4,3792,37.741093,-122.162165,1397,123,5.1,3.2,3.58,0,15.5,1.8,1.9,3.8,7.2,16.4,18.1,35.2,3.8,11.1,39.2,37.7,7.4,0.9,65.8,34.2,44.746,69.077
388.7,2193,37.807099,-122.289823,1120,69,4.2,2.93,2.24,2.2,17.4,11.1,9.3,8.7,7,13.6,3.3,27.5,5.2,22.1,40,22.6,7.1,3,12.8,87.2,19.351,28.868
704.2,2355,37.894631,-122.290916,949,31,5.9,2.48,2.94,0,0.8,0,0,1.1,3.5,4.7,14.4,75.4,0,10.4,35,35.8,17.2,1.6,72.3,27.7,117,133.285
661,2898,37.894805,-122.297564,1270,43,4.6,2.75,2.15,0,0,1.6,6,4.2,17.6,6.5,22,42.1,0.9,24.4,45.2,19.9,7.6,2,41.5,58.5,73.665,84.058
639.2,2308,37.886543,-122.295159,1027,145,4.6,2.6,2.35,0,1.1,2,2.5,8.3,9.3,16.2,20.6,39.9,1.4,21.6,49.7,21,5.1,1.3,37,63,65.726,89.174
884.5,1992,37.899169,-122.266302,891,22,6.5,2.44,3.92,2.1,1.3,2.1,2.9,7.5,2.5,16.6,15.3,49.6,0,2.5,19.2,46,28.2,4.2,94.1,5.9,168.75,200.929
999.7,3563,37.897263,-122.274705,1538,82,7.4,2.61,1.43,0,0.5,1.4,2.6,4.1,2.3,11.6,4.1,73.3,3.2,0.7,9.2,37.4,34.9,14.6,92.1,7.9,157.5,186.191
871.6,3844,37.891135,-122.28171,1751,107,6.2,2.48,2.06,0,0.5,0.8,1.8,1.4,4.2,8.1,4.1,79.2,0.5,11.5,23.9,38.3,17,8.8,82.4,17.6,116.2,154.589
896.7,1593,37.888419,-122.270734,686,0,6.9,2.46,2.63,0,0.7,3.4,0,1.7,5.2,3.4,5.1,80.5,3.2,4.1,14.3,34.7,32.9,10.8,82.5,17.5,132.258,175.767
912.6,3640,37.891531,-122.260296,1681,64,6.3,2.37,2.1,0,1.3,1.7,0.7,3.4,11.5,26.3,13.4,41.6,3.2,8.9,17,41.8,22.4,6.7,83.1,16.9,134.875,176.674
901.3,3558,37.883504,-122.257426,1704,132,6,2.46,1.68,0.8,0.9,1.3,6.3,2.2,8.8,22.8,6.3,50.5,7.1,16,16,30.2,20,10.9,72.8,27.2,121.111,141.483
699.1,3198,37.881464,-122.27027,1728,97,4.3,2.53,2.28,0,1.6,4.9,6.4,7.5,10.8,16.5,6,46.4,4.6,29.5,35.4,21.5,5.8,3.2,37.3,62.7,80.491,99.156
694.1,2007,37.879992,-122.277817,960,80,5.8,2.35,2.36,0.5,1,4.5,1,3.1,1,4.8,10.1,73.9,2.4,15,30.1,31.6,17.7,3.2,69,31,82.917,105.929
652.9,3632,37.879488,-122.289683,1857,238,4.7,2.31,2.01,0,0,0.6,3.2,0,2.4,9.9,28.3,55.5,2.1,23.1,48.8,18.6,7,0.3,64.3,35.7,91.774,108.201
613.6,2685,37.873165,-122.296631,1156,121,4.2,2.43,1.98,0.6,2.3,0.9,1,7.8,8.8,14.6,33.4,30.6,4.4,21.8,44.4,23,5.4,1,47,53,43.771,54.928
608.8,3144,37.87252,-122.288105,1643,130,4.2,2.15,1.82,0,0,0,2.6,1.9,8.3,18.3,19.1,49.8,7.6,33.6,43.3,7.3,2.9,5.3,49,51,54.083,87.386
638.8,3387,37.873995,-122.277501,1813,218,4.2,2.31,2.12,4.2,2.2,3.8,4.4,9.6,6.9,10.1,6,52.8,9.9,28.3,35.5,17.4,5.7,3.2,44.1,55.9,48.776,71.676
623,4196,37.875219,-122.269324,2296,12,3.2,2.67,1.95,0.8,7.3,2.8,4.7,10.1,13.4,8.1,11.5,41.3,10.8,50.9,26.4,7.8,2.2,2,9.4,90.6,39.083,60.12
640.3,4658,37.876904,-122.259915,1660,113,3.3,2.22,1.65,0,1.5,0,2.8,3.7,11,7.7,15.7,57.7,15.9,46.6,23.1,9,2.6,2.7,20.6,79.4,45.875,77.9
936.4,4885,37.867659,-122.251235,1150,87,3.9,2.23,2.48,0,4.3,2.8,5.2,8.1,13.6,16.9,9.9,39.2,7,33,32.4,10.9,9.7,7,17.3,82.7,35.352,59.007
350,8368,37.866717,-122.258913,1484,106,2.9,3.33,1.97,0,4,2.4,5.6,14.8,12.8,9.6,11.2,39.7,21.2,53.9,13.7,3.6,5.1,2.4,0.2,99.8,25.145,28.492
576.2,4396,37.867025,-122.277077,2177,67,4.4,2.73,2.1,0,0.9,5.7,2.2,5.8,8.2,10.8,11.6,54.8,2.7,24.7,44.1,22.3,5.1,1.1,44.6,55.4,75.03,89.394
587,3964,37.866041,-122.285919,2006,201,4,2.67,1.83,1,3.4,0.9,4.3,3,9.9,15,10.9,51.7,9.5,29.2,38.2,16.2,4.8,2.1,37.6,62.4,48.956,63.703
498.7,2794,37.864428,-122.293691,1188,115,4.5,3.14,2.33,0,0,1.9,6.1,6.2,13.2,13.7,11.4,47.5,8.9,24.3,29.9,25.8,8.7,2.4,38.4,61.6,48.906,67.469
541.8,3647,37.857371,-122.283915,1693,159,4.8,2.86,1.94,2,0.4,0,1.6,1,11.6,10.2,13.7,59.4,3.2,28.2,33.4,29,5.8,0.5,56.6,43.4,53.587,69.354
554,4685,37.858202,-122.275892,2243,222,4.2,2.46,1.96,1.9,1.3,0,1.7,5.2,14.3,19.2,5.8,50.6,6.1,27.9,38.7,16.2,9.6,1.6,38.1,61.9,38.86,64.697
655.9,3118,37.859124,-122.267924,1438,105,4.6,2.72,2.21,3.4,0,1.3,4.3,11.2,10.2,6.5,5.8,57.3,7,21.1,33.2,17.7,14.3,6.8,37.1,62.9,70.863,76.083
583.3,5659,37.863529,-122.258796,2604,157,3.5,2.32,2.38,0,3.9,3.8,7.6,9.6,22.5,14.1,5,33.5,11.4,33.6,35.6,11.3,3.1,5,15.1,84.9,35.589,52.798
972.9,3633,37.862379,-122.250259,1419,216,4.5,2.56,1.88,0,0.6,1.9,6.5,2.3,5.5,11.3,7,64.9,13.5,27.6,13.9,15.5,20.2,9.4,40.1,59.9,57.875,105.233
402,2020,37.852678,-122.266679,880,75,4.7,2.78,1.75,0,1.3,7.5,0,2.3,3.6,2.2,14.3,68.9,0.5,35.7,29.8,29.1,1,4,45.2,54.8,52.962,69.854
587.5,3716,37.850293,-122.27484,1614,164,4.1,3.28,2.36,0.5,4.3,1,1.2,8.2,7.1,12.9,14.4,50.2,4.6,25.7,47.9,15.4,5.1,1.2,21.1,78.9,43.81,54.286
341.2,2172,37.850348,-122.281464,1020,54,4.2,2.61,2.1,0,1.8,1.7,0,5.5,6.2,19.4,15.3,50.2,0,22.3,57.6,15.8,3.3,1,37.3,62.7,34.565,50.966
293.2,1596,37.838229,-122.301937,1266,0,3.4,1.68,1.53,0,0,3.2,2.7,68.1,18.5,6.6,0,1,10.1,71.2,13,4.1,1.7,0,54.7,45.3,75.778,102.278
487.5,2807,37.841394,-122.294966,1810,364,3.4,1.52,1.46,9.7,21.9,18,47.1,3.4,0,0,0,0,12.8,55,28.9,3.3,0,0,25.6,74.4,69.352,94.321
394.8,2502,37.843845,-122.289329,1379,179,3.6,1.98,2.03,25.6,45.3,6.7,0,6.5,0,2.2,1.7,12,2.9,34.2,57.4,5.4,0,0,43.6,56.4,92.174,109.827
329.9,3175,37.833049,-122.280897,1797,197,3.6,2.07,1.9,10.2,4,18.8,6.2,3.1,5.8,12,6.2,33.7,12.7,44.4,27.4,13.6,1.1,0.9,25.3,74.7,50.682,59.392
772.9,3646,37.764448,-122.23133,1427,91,6.3,2.59,2.39,2.3,0,0,2,1.8,7,1.5,13.2,72.2,2.2,12.7,27.1,43.1,14.2,0.7,64.3,35.7,99,117.761
511.7,4107,37.771896,-122.248665,1626,147,4.8,2.93,2.93,0,1.2,0,4.2,9.2,7,5.8,5.7,66.9,0,19.8,46.6,26,5.9,1.7,38.3,61.7,73.482,86.052
599.6,4896,37.778193,-122.267919,2108,173,4.6,2.37,2.34,0.7,5.7,12.6,21.3,10.9,5.4,5.9,7.1,30.5,5.3,23.3,39.2,14.4,12.4,5.5,43.7,56.3,64.39,95.101
526,4722,37.777977,-122.283671,1810,225,3.9,3.18,2.84,2.5,5.9,6.6,5.2,11.3,28.1,11.1,12.4,16.9,0.8,19.9,57.6,14.8,5.6,1.3,20.1,79.9,47.46,56.864
657.6,4640,37.772007,-122.269339,2113,203,4.4,2.97,2.05,0,0,0,4.9,5.1,9.3,9.4,10.4,60.9,5.3,27.4,37,17.8,7.6,5,41.6,58.4,77.287,98.438
712.9,4567,37.770244,-122.257843,2227,112,4.3,2.55,1.87,0,0,0,1.5,5.9,4.4,6.4,4.6,77.2,3.1,31.6,33.7,18.1,9.6,4,40.8,59.2,72.366,99.066
456.6,2928,37.767344,-122.248509,1388,57,3.8,3.43,2.22,0,0.6,0,1.9,23.5,8.3,7.3,10.6,47.8,4.8,35.2,44.3,11.1,3.2,1.4,18,82,53.565,65.666
646,6259,37.755936,-122.241445,2616,111,5.4,2.81,2.37,0.6,0,0,3.8,10.7,19.9,19,6.1,39.9,4.4,11.6,28.7,41.4,10.7,3.2,59.9,40.1,90.996,104.798
