doc_id,industry,text
doc00017,3,"This beard is getting out of control. Whenever I perspire my face feels like it's covered in wool. Not the most comfortable itchy sensation. During lunch today, I had another octogenarian moment: Eating some yogurt, I completely missed my mouth (c'mon...it's not like I've been feeding myself for almost 23 years now...) and instead spread a nice trail of key lime yogurt (in its Ecto Cooler green glory) all across my chin, and consequently my beard. Not only did I have to wash my face and beard, but afterward I had to dry both by paper towel, and then brush my facial hair. News flash, clean shaven folks: Beards get unruly if you don't daily shampoo and comb them. But enough...if I keep this up, I'm going to end up shaving the beard off, and then the middle aged ladies at work won't compliment me anymore. And as everyone knows, I love the ego boosts. :) The apartment hunt continues. I think I've got a v. good lead in Dewitt, a 'burb of Syracuse. Mark, a law student from Bath, NY, advertised his apartment on OrangeHousing.com, and both the place and potential roommate seem great. Plus, rent is half of what I'm paying here in Bmore, and it includes heat (something oh-so essential during the nine months of winter in Upstate New York). This story is still developing. Hah! I'm starting to write urlLink Matt Drudge headlines. You can write the guy off as a yellow journalist with no regard for story credulity, but when it comes to breaking tomorrow's news before papers go to press, I haven't found anyone better. And his teaser headlines are pretty sweet, too. Badingkaba."
doc00018,1,"Hey everyone, just wonderin if ya'd all like to hear a song i remixed. Don't gimme too much crap about it, it's one of my first, but yeh, i'd appreciate any feedback. lol The song can be found urlLink Here"
doc00019,5,smile though you heart is aching smile even though its breaking when there are clouds in the sky you'll get by if you smile through your fear and sorrow smile and maybe tomorrow you'll see the sun come shining through for you light up your face with gladness hide every trace of sadness although a tear may be ever so near that's the time you must keep on trying smile what's the use in crying you'll find that life is still worth while if you just smile
doc00020,3,"Yep, that is my name. Several months ago, I came to my husband and confessed that I had a few credit cards he didn't know about. I had been thru a huge problem with my depression and all the bills were behind, we were financially in horrible shape. It was a rough few months for us. I screwed up again. I didn't remember one of the cards. This morning the collections agency calls, and talks to Tommy. He asked me about it, I still didn't remember. After Tommy went to work, I called the number on the phone and talked to them, they reminded me of the card. Not a good thing. I guess I had just blacked it out or something. I don't know what happened. THey had been trying to call, but I won't answer the phone if I don't know who the company listed on the caller ID is. I don't have to hang up on telemarketers that way. So, all this time, they have been calling ,and I assumed they were just a telemarketing company. Sheesh, I'm an idiot. Now, I am scared. When we went thru this a few months ago, he told me ""never again"" he wouldn't do this again,and I know he was on the verge of leaving me. I am praying he doesn't leave me. I can't handle that. I do love him, I have been doing soooooo good the past few months. I have been sticking to the budget he gave me, like glue. I have been making do with what grocery money we have, and not been complaining at all. I have even been bringing him the recipts of what I pay and spend. I have felt so much better about myself, and everything. And now this. I have screwed up bigtime,and I know it. I don't have a clue what to do. I don't know what to say to him. He isn't speaking to me. At all, not a word. Pretty much ignoring me. I asked him if he wanted to talk about it, and he told me ""you don't want to talk to me right now"". I know I have pissed him off beyond belief. I even got most of the house clean before he got home from work this morning. (he only had to work about an hour) Which for me, is good."
doc00021,6,"I picked up the keys yesterday for the house I'm be staying at. Yay! The day was incredibly long though and I woke up this morning with the beginnings of a cold. Gee, Shannon, you thought you would go literally non stop for 2 weeks and NOT get sick? Duh. I got a call though from a girl in a recovery house. I spoke there a few months ago and she has a pass this Saturday and has to spend the day with another woman in recovery. And she called me. She's a sweetheart and has my name! So we are gonna hang out Saturday afternoon. We can hit a meeting and then what? Coffee I guess and then... I dunno. It will be interesting."
doc00022,5,"ok here's a question. well i guess it could be a riddle. i dunno..its confusing...if you figure out an answer then IM me! oh and yes some of the names have been changed to protect the identity of the original people....JUST KIDDING! Richard paints a fence in 3 hours. Cindy paints a fence of the same length in 6 hours. If Richard and Cindy paint a 3rd fence together, how many hours will it take them to finish?"
doc00023,6,This site needs more porn... lets start with some urlLink ultrasoftcore
doc00024,1,nathan ---- this site..... urlLink tm1nor.blogspot.com im putting up pics but im tryin to find a pic of you but i cant find one...so stay tune....
doc00025,2,"Quotes of the Week &nbsp; "" I want to be a cunt""&nbsp; -Hai "" Ok, I have to go to sleep now. Night night. I'm a cunt."" -Hai, same conversation "" I need a good ramming."" -Susan ""Fuck me or Fuck off!""- Susan's away message I love my friends."
doc00026,2,"The most common question that I am asked when people find out what Kris does is, “Aren’t you lonely?”. What people don’t seem to realize is that there is a difference between being lonely and being alone. The truth is that I kind of enjoy this time to myself; it gives me the opportunity to explore my interests and to be independent. Besides, I don’t understand why everyone pities me – Kris is the one off in the middle of nowhere on some barge without television or Internet or women for miles and miles. I, on the other hand, get to spend our time apart in the comfort of our house, with our friends and with easy (and frequent) access to the charge card. Personally, I think that Kris is the worse off of the two of us, so aim your pity in his direction. In fact, a recent experience made me realize just how scary this lifestyle of frequent travel can be for divers: Kris and I decided to switch banks and, since he was going offshore that night, I was in charge of making any necessary changes. Before he left, I had him sign and void a check for me to give to his company's accountant for the direct deposit of his paycheck. When I called the next morning, I was informed that, despite my legal rights as his wife, and the fact that we share a joint account, it was company policy that only the employee could make changes to the direct deposit. Why, you may ask, must his company be so difficult? Perhaps its time I introduced you to Jodi. Jodi is the name of the man that every diver fears for he is the man who is sleeping with your wife while you are away at work. Nothing pleases a seasoned diver more than to regale the newlywed, young, wide-eyed tender with tales of the dreaded Jodi. In fact, Jodi is so scary, that many tenders have quit their jobs for fear of their young brides finding comfort in his arms. Jodi was actually named during the Viet Nam war. Originally, Jodi was the military name given to draft dodgers. The idea was to train young draftees to despise Jodi for staying behind while they honorably served their country. Of course, as a young, naiive soldier, you were told that Jodi was a filthy being who, not only sherked his duties as an American, but who also took the opportunity, while you were away, to move in on your unsuspecting wife. So, first you learned to hate Jodi; then you learned to associate Jodi with the enemy; next you learned to hate the enemy. Isn't brainwashing fun? Amazingly, still today, the fear of Jodi lurks in the hearts of all married men who work offshore. The reason I bring up Jodi is to illustrate the point that some divers cannot trust their wives. This sad but true fact is so common that it explains why Kris’ company will not allow me to make changes to his banking information. I assure you that I am not just jumping to conclusions; the accountant told me point blank that this was the reason for the policy. When Kris first got his job, he told me that a tender at his company had recently quit. Apparently, he was married to a professional cheerleader who seemed to think that her husband would be diving for oil out of their backyard. Or, at least, that is all I can figure because this young man was sent offshore on his first job and, two days in, received a frantic phone call from his wife threatening to divorce him if he did not come home immediately. Some women just can’t handle the pressure. The saddest stories that I hear are of women who take their husbands' earnings and skip town without warning. These women are famous in commercial diving legend and are the inspiration for strict company policy when it comes to paychecks. Somewhere between Jodi and these glorified-prostitute wives, divers must be very cautious about whom they trust. The companies that they work for are forced to implement some extreme policies to protect their workers. Whether you dive or not, I guess it is a pretty sick world out there. Everyone handles the stress differently. Take me, for example: I am not a cheater or a thief, but my shoe collection is quietly growing…"
doc00027,4,"Here are the REAL note =P New England Economically-Arigriculture but no SINGLE cash crop. --Rocky soil --Cold Climate-short growing seasons --lumbering, shipbuilding, whaling, and run led to diversified economy Trade--Key to prosperity Merchants-- Most Influential (kinda like the 1% of ""southern gentlemen"") Urban society--no big plantations Independent Farmers-- Backbone of the region (majority) = to souther yeoman farmers Education--Massachusetts public school Law passed in 1649 led to public education which in turn led to Harvard (education was based on the need to read the Bible for oneself) Religion--Puritanism-little toleration Townships-- 36 sq. mile blocks that led to orderly expansion withih the community--this allowed tor town meetings to happen which let town meetings take place which ties into helping self-government develop and then democracy.----the southern colonies were ""organized in counties"" If you know all that you're set. =)"
doc00028,2,"future topics in the near future i intend to cover the following topics briefly. the blogging medium : is it creating intimacy or distance and under what circumstances. my time at the village vineyard church plant: what can be learned looking back. aids in africa, or kids in cambodia: the consequences of being divided in your desire to be a means of providing some social justice. what i learned at the rock and roll hall of fame. indie rocker: to be or not to be i am an easily encouraged individual. so when JNF posts to my blog that i should put my feelers out based on the strength of some of the songs posted on the songwriter site, i actually makes me think that this is a possibility. for a number of years i knew my weakness was song-writing. hanging out with jim zartman only proved to deepen my understanding of that weakness. But all the while i prayed that God would give me the gift of song-writing. for years i prayed this. I noted other talents as to keep my over-inflated ego filled with hot-air. e.g.. perhaps production was my main gifting, i can arrange and correct, but not compose, or i can play all these instruments so. . . I lived with John Reuben for a year. I saw him on the road and off. It was that year that i realized i was not built for the road. For the lack of relationships at home, for the tiredness, the stresses of business, the constant self-promotion, the constant battle of not believing your own self-promotion for humility sake, merch., ticket sales, fakeness, groupies. . . i just dont think i could take it. But i have to admit, the allure of fame does make me forget about all the hardships i saw john endure. It's not even money. artists dont make money. Real money is inherited, new money goes to businesspersons, the artist is given his cut. And even with the top percentage of successful artists, their income pales in comparison to the previously mentioned categories. Cash is such a tangent. As if that was the only thing concerning me. I think my point is simply, dont become an artist for the money, become a musician because you want to throw away all relationships you have at home for a disenfranchised tires and usually penniless existence as a nomad, entertaining people as they indulge in drink or prior to illicit sexual activity. What a life. I'm not going to fool myself into thinking there's some kind of platform for Jesus on the indie rock circuit. personally, i just dont buy it. Not that i would judge any of my friends who felt called to that. In fact i would probably encourage them in it. But of all who have ventured out, i haven't heard stories or seen the tremendous fruit you would think such a platform may yield. I have seen tired eyes, fallen lead singers, and even more discontent. i dont want that life. the alternative If i love performing and writing music, what are the alternatives to refusing the road? playing columbus: just for fun, could be cool. real success would be illusive. writing and giving away music: on the web, maybe get hooked up with a publishing house. could be cool, but not satiate the performance facet of the diamond. would not be able to really sell records either. do something completely different. . . ""every day, every day, every day's a fresh new day, with Downy"" ""baby, baby, baby, buy a beamer"" i had to change the car name, the last time i put Lex%s in here thats all the g00gle banner ad search found for a month. welcome to the age of laundry detergent."
doc00029,4,"Guess what..NEIL DIAMOND IS FUNKY! Neil Diamond - Forever in Blue Jeans Money talks, but it don't sing and dance It don't walk As long as I can have you here with me, I'd much rather be forver in blue jeans Now isn't that cool?!?!"
doc00030,3,"What will the day hold for me? Hopefully someting fun and exciting! :) I'm about to embark on a shopping trip in Ft. Wayne. I'll have more insights thoughts when I'm in a more insightful mood. Quote of the day: ""Just checking to see what condition my condition was in."""
doc00031,2,"urlLink Let them sing it for you. And make sure it's got 'scream' in it...my, is that Mr. Tyler??? (these were the lyrics I entered: scream to the city the sky is closed scream to the walls the place is closed it's too late for water dreams and things scream scream scream to the city)"
doc00032,3,"Michael Musto has an amusing article on the McGreevey situation in the Village Voice. Best line: Deliciously enough, on the very page after its McGreevey story last Friday, the Post reported that Bronx state senator Efrain Gonzalez had given a longtime gal pal a cushy job. (Obviously Golan Cipel wasn't available—probably busy launching the inevitable handbag line.) Well, unless Gonzalez gives a weepy ""I am a straight American"" speech and steps down in shame very soon, I'm moving to Canada. urlLink The Village Voice: A Alien vs. Predator by Michael Musto"
doc00033,1,"As usual, I am getting my daily dose of Blog. I have never taken any drugs in my life but blogs are truly addictive. So I come across Guy's blog and he is talking about Gun an shit. I am not getting techincal today for the sake of my own sanity. So, my life as a gun Freak will be spelled out in vivid detail today.......... Wow, guns. What can I possible tell you about guns??? I could get all intellectual and tell you how to break down a HK 91 without even breaking a sweat. I could tell you that the Glock 19 has to be the best gun for a street battle. I could tell you that any gun made by Davis is worth about three bucks. I could tell you that Smith and Wesson's are priceless on the street. I could also tell you that the most powerful handgun that I ever fired was a Super Python 445 magnum. Get the point?? I was and probably somewhere in the deep recesses of my body is a gun fanatic. Every since I was young, my father held an interest in projectile weaponry and it seeped over into my genes. My father owned a mossberg bolt action shotgun ( antique ) and I used to just take it out of the leather case just to touch the butt of it. IT gave me this tingly type of feeling. The first gun I have ever own was a Raven .25 automatic. It had 5 in a clip ( bullets ) and 1 in the hole ( chamber). That had to be the cheapest gun made to man. The whole pin was exposed inside the chamber. The pin is the piece of metal that hits the bullet that makes it fire. So when the bullet fires the chamber slides back and another bullet is loaded. Uh, with an exposed pin, one jam and the pin breaks and the gun is worthless. Of course, you would think I would learn after 3 pins. That raven was the first gun that my father ever found in my room when I was living on Elder. I remember walking in and my father hand the gun in his hand. He asked me "" What's this ?"". I told him, ""it's a Gun pa"". He wasn't too amused. He just let me do what I wanted to do and said that I would feel the consequences if I ever got caught with a gun. I always thought that he meant he would try to beat me but that was not the case. My second gun was an Italian Beretta 92F model deluxe. That gun was the sweetest gun. My third was a .45 Cal StarFire. It was a compact Combat style 45. It was a bulldog of a gun. My Fourth Gun was an AMT Hardballer .45 cal competition pistol. This gun was huge and the kick was crazy. After that, came the Desert Eagle .50 cal. This gun was probably the only gun that ever scared me. I brought a Mossberg Assault Shotgun with the collapsable stock. A .22 beretta with the wallet holster. This shit was HOT!!! The holster was an actual wallet and the gun went right in the middle. If anyone tried to rob me, I would go into my pocket to remove what looked like my wallet and I would hand them a huge surprise ( 6 shots to the face ). I had the AT-22 Feather target pistol. I came across a Walter PPK 32 Cal. This gun was the Rolls Royce of the Gun world. I came across a small 22 Cal. Derringer with two shots that I got into every single club I ever went to. Hint Hint: Grab your chain and put the gun on the chain. Don't put the gun on your chest, place it to your back. The Chain looks like a choker and not many bouncers check that far up your back. A harrington 22 Cal. 9 shot revolver. This gun was cool because most revolvers come with 6 shots, this one had 9. After 6, you think we are done, whoah , here comes three more. Finally, my pride and joy, my Glock 20 40 Cal with an extended 40 shot clip and silencer. I miss that gun. I got caught with it and until this day, I miss that gun like I lost a child. That is not all of them but the main ones that I remember. Once things were getting kinda crazy, my life was synonymous with carrying a gun everywhere I went. Where ever you saw me, Fish had a gun. It was common knowledge that from my area, I had the best aim, knowledge, and mechanical skills when dealing with guns. I took it to many levels buying magazines and researching everything about the subject. I used to go to the gun shows and try my best to steal as many guns as possible. Why not buy??? Fuck that, gun shows are expensive. Funny thing, I had so many guns in my house and when you are young, you tend to blabber. So, I made up a story that someone broke into my house and stole my guns. I even broke my window to make it look believable. Could you believe that I had some people come up to me saying they knew who took my shit??? I was pretty amazed at the whole thing. Guns. Wow. I think that I replaced my love for guns with poetry. That is the only thing that I could figure out as to why I love poetry soo much. So, do I own guns now?? Of course I do. Do I have them in my possession ?? heheeehehehe. No. Would I tell you where they are??? Sure, after I am dead. I'll leave you a note. So much to write but most is incriminating! LOL Peace, Love, Porkchops Fish"
doc00034,6,Nipped from urlLink Eric . urlLink What Kind of Geek are You? Name DOB Favourite Color Your IQ is quite high You are a computer geek Your strength is you can see in the dark Your weakness is alcohol You think normal people are aliens Normal people think that you are weird This QuickKwiz by urlLink owlsamantha - Taken 5492 Times. New - COOL Dating Tips and Romance Advice!
doc00035,5,Hey hey.. today finish my paper le... wooo... so song... hehe... dan now finally got the chance to come online and update ya.. hehe.. muackz... later going out wif dear dear... hmmm... quite happy when i think of it.. actually wanted to watch shrek... but then tml dan open.. so today dunno where to go.. dear dear ask mi plan.. haha... @_@ headach le.. hehe... i always bluuf him when he ask mi to plan later go where... wat to eat.. or ect.. hehe.. dan i say i headach... wanna faint le... hehe.. dan dear dear will let mi off.. ~~ =D hmmm... now waiting for his reply... my mum asked mi accompany her go ntcu... dan later meet dear dear... hmm.. dear ar.. miss ya so much... muackz.. hugz.. see ya later... muackz.. hugz... hehe.. tata.. take care...
doc00036,6,"She stops and looks at you shocked. ""Someone was drinking ? Here, on campus ?? (you sense you note of dissonance fading)"
doc00037,6,"Welcome to the second edition of ""Adventures with Kitties"" starring Tigger as ""Little Bastard"" and Pooh as ""Little Bitch""! In today's episode, it is early Monday morning and I've just gotten out of the shower. As I am applying moisturizer to my skin I hear some strange sounds coming from the living room. I walk towards the sounds and immediately see Tigger sitting up on the ledge looking down at the front door. At what? I have no clue. Its obviously a cat thing. I walk a bit further in and see that the cover is off one of the heating vents on the floor near the living room window. My first thought is ""Crap, Pooh is in the vents!"" so I walk over, remove the whole thing and start calling to her. I hear nothing. I'm wondering what to do and I consider getting the catnip as bait for her. I replace the cover for the vent because god knows Tigger would certainly climb in (he's done it before). I turn around and, to my surprise and amusement, there is Pooh outside at the back door meowing to get in. I let her in but I'm a bit puzzled as to how she even got out there. As far as I'm aware, I don't think the vents lead outside - at least not that quickly/directly. The only other option I can think of is that she went through the living room window. See, we don't have a screen on that window just yet - and last night I left it slightly open so as to let in the cool night air. The thing is that it wasn't open any more than 3 inches but maybe thats enough. If she did escape that way she had quick the long drop down! Cats are just weird. Or maybe thats just our cats :) Anyhoo, today I feel normal. And what I mean by that is that we went to a wedding this weekend and I got really nicely toasted - so I'm now feeling non-alcoholic and, thus, normal. Its been quite some time since I had that much wine - and it wasn't even all that much! I guess we've got to get into ""condition"" before Canadameet though! ;) So now Adam and I are thinking of doing something for the long weekend in August - but we're not sure just what yet. Maybe camping? We might just go back to Sullivan Lake or maybe do something else. Suggestions anyone? It has to be something close to here as we're trying to save $$ to renovate our upstairs bathroom. But now I must get ready for work... Ciao!"
