count,season,year,workingday,weather,temp,humidity,windspeed
4258,Summer,one,1,Dry,36.415022,0.559167,21.59254374812
4342,Summer,one,1,Dry,33.280022,0.631667,15.75690470874
5084,Summer,one,1,Dry,28.934978,0.47625,25.95010699526
5538,Summer,one,1,Dry,27.779978,0.59125,19.71411083474
5923,Summer,one,0,Dry,29.320022,0.585,22.46463865676
5302,Summer,one,0,Dry,31.465022,0.604167,26.42087435074
4458,Summer,one,1,Dry,33.280022,0.65125,23.26923462712
4541,Summer,one,1,Dry,35.260022,0.650417,14.082046868
4332,Summer,one,1,Dry,34.709978,0.707083,12.27240680226
3784,Summer,one,1,Rain,37.79,0.69125,23.93958750138
3387,Summer,one,1,Dry,39.989978,0.580417,14.351611318
3285,Summer,one,0,Dry,40.045022,0.5,14.14900667738
3606,Summer,one,0,Dry,38.78,0.550833,18.24099502838
3840,Summer,one,1,Dry,33.059978,0.757083,9.791475777974
4590,Summer,one,1,Dry,34.930022,0.540833,21.59297505124
4656,Summer,one,1,Dry,35.15,0.402917,19.78204107614
4390,Summer,one,1,Dry,35.425022,0.583333,19.24463738862
3846,Summer,one,1,Dry,39.329978,0.5425,18.77656567764
4475,Summer,one,0,Dry,37.075022,0.465833,18.17263348386
4302,Summer,one,0,Dry,37.184978,0.480833,17.77109027914
4266,Summer,one,1,Dry,34.930022,0.550833,16.89813276426
4845,Summer,one,1,Dry,35.699978,0.49125,22.195936813
3574,Summer,one,1,Rain,32.290022,0.6575,14.61934272974
4576,Summer,one,1,Rain,30.86,0.7575,21.257852527
4866,Summer,one,1,Dry,30.914978,0.630833,19.91499026288
4294,Summer,one,0,Rain,31.300022,0.755,24.611234285
3785,Summer,one,0,Dry,33.005,0.752917,21.72549293486
4326,Summer,one,1,Dry,34.49,0.592083,20.7214192715
4602,Summer,one,1,Dry,35.15,0.570417,16.29473969938
4780,Summer,one,1,Dry,34.600022,0.424167,21.59297505124
4792,Summer,one,1,Dry,31.355,0.42375,17.76925724088
4905,Summer,one,1,Dry,30.749978,0.415,13.54518230938
4150,Summer,one,0,Rain,29.264978,0.729583,22.80019248412
3820,Summer,one,0,Rain,28.660022,0.8175,24.00557687874
4338,Summer,one,1,Dry,27.944978,0.712083,22.53062803412
4725,Summer,one,1,Dry,30.254978,0.578333,25.48235876162
4694,Summer,one,1,Dry,31.739978,0.575417,15.49100633526
3805,Summer,one,1,Dry,30.970022,0.654583,25.14583450224
4153,Summer,one,1,Rain,29.21,0.722917,15.02099376024
5191,Summer,one,0,Dry,30.035,0.674167,11.26423575926
3873,Summer,one,0,Dry,30.914978,0.77,26.82209407812
4758,Summer,one,1,Dry,29.650022,0.47,29.840784615
5895,Summer,one,1,Dry,26.294978,0.455417,15.82483495014
5130,Summer,one,1,Dry,28.439978,0.605,27.29156752424
3542,Summer,one,1,Rain,29.155022,0.771667,22.73323267474
4661,Summer,one,1,Dry,30.2,0.76125,9.05332205325
1115,Summer,one,0,Rain,28.88,0.85,40.50119600626
4334,Summer,one,0,Dry,30.665894,0.561765,32.85009430902
4634,Summer,one,1,Dry,26.020022,0.554583,17.2332552885
5204,Summer,one,1,Dry,26.185022,0.548333,13.47908510624
5058,Summer,one,1,Dry,27.340022,0.597917,8.985478072474
5115,Summer,one,1,Dry,27.23,0.639167,15.28926430088
4727,Summer,one,1,Rain,26.459978,0.727083,15.08795356962
4484,Summer,one,0,Dry,28.165022,0.716667,19.9828126785
4940,Summer,one,0,Dry,30.805022,0.742083,22.26246531926
3351,Summer,one,0,Rain,28.439978,0.790417,22.93411210288
2710,Summer,one,1,Snow,19.64,0.886957,37.08592225054
1996,Summer,one,1,Snow,23.545022,0.917083,10.461343436224
1842,Summer,one,1,Snow,25.838258,0.939565,20.78320344344
3544,Summer,one,1,Rain,26.9,0.897917,13.41126269062
5345,Summer,one,0,Dry,27.56,0.75375,16.56290241424
5046,Summer,one,0,Dry,27.119978,0.71375,12.40578729212
4713,Summer,one,1,Dry,26.526968,0.692174,9.58711357714
4763,Summer,one,1,Dry,26.954978,0.7125,15.29012690712
4785,Summer,one,1,Dry,28.439978,0.697083,18.039252994
3659,Summer,one,1,Rain,22.115,0.709167,29.23652894388
4760,Summer,one,1,Rain,14.965022,0.590417,17.70316003774
4511,Summer,one,0,Rain,16.450022,0.718333,20.4518548215
4274,Summer,one,0,Dry,17.495,0.695,19.24506869174
4539,Summer,one,1,Rain,20.245022,0.69,16.36169950876
3641,Summer,one,1,Rain,21.070022,0.88125,14.55152031412
4352,Summer,one,1,Rain,23.27,0.9,10.394858060276
4795,Summer,one,1,Rain,25.469978,0.902083,13.8151780625
2395,Fall,one,1,Rain,24.205022,0.9725,8.449950553526
5423,Fall,one,0,Rain,24.040022,0.8625,8.451740461474
5010,Fall,one,0,Rain,25.855022,0.845,5.432176535776
4630,Fall,one,1,Rain,26.845022,0.848333,11.936313846
4120,Fall,one,1,Rain,26.020022,0.885417,12.74188024838
3907,Fall,one,1,Rain,25.91,0.84875,16.02603785562
4839,Fall,one,1,Dry,24.700022,0.699167,18.64124432374
5202,Fall,one,1,Dry,21.235022,0.6475,22.2633279255
2429,Fall,one,0,Rain,11.06,0.75375,31.51704419088
2918,Fall,one,0,Rain,7.540022,0.791667,23.93872489514
3570,Fall,one,1,Rain,9.355022,0.760833,8.986825894724
4456,Fall,one,1,Dry,15.955022,0.71,22.19636811612
4826,Fall,one,1,Dry,19.529978,0.647917,19.112119505
4765,Fall,one,1,Dry,16.615022,0.620833,14.55152031412
4985,Fall,one,1,Dry,17.714978,0.684167,2.414402518026
5409,Fall,one,0,Dry,18.430022,0.70125,4.895743280276
5511,Fall,one,0,Dry,19.694978,0.7275,6.841545741
5117,Fall,one,0,Dry,21.674978,0.73375,4.561483362276
4563,Fall,one,1,Rain,21.400022,0.80875,15.42361522276
2416,Fall,one,1,Snow,19.859978,0.90625,26.756967307
2913,Fall,one,1,Rain,22.885022,0.896667,15.28829386886
3644,Fall,one,1,Rain,20.354978,0.71625,24.14035910374
5217,Fall,one,0,Dry,17.440022,0.483333,27.82800077974
5041,Fall,one,0,Dry,17.770022,0.486667,30.37635526426
4570,Fall,one,1,Dry,19.255022,0.579583,18.91037747062
4748,Fall,one,1,Rain,19.145,0.701667,11.870216642860001
2424,Fall,one,1,Snow,19.754774,0.895217,26.23821747942
4195,Fall,one,1,Dry,15.404978,0.63625,45.5321312495
4304,Fall,one,1,Dry,12.215,0.574167,23.87219638888
4308,Fall,one,0,Dry,11.885,0.629167,9.991859207526
4381,Fall,one,0,Dry,11.830022,0.74125,10.73001293225
4187,Fall,one,1,Dry,14.579978,0.772083,12.80884005776
4687,Fall,one,1,Dry,15.130022,0.622917,17.97002884324
3894,Fall,one,1,Rain,15.955022,0.720417,16.02743959076
2659,Fall,one,1,Rain,15.02,0.812917,21.32394973014
3747,Fall,one,1,Rain,5.8349780000000004,0.585833,24.74375216862
627,Fall,one,0,Snow,0.775022,0.8825,37.88685214438
3331,Fall,one,0,Dry,5.065022,0.62375,19.04386578626
3669,Fall,one,1,Dry,6.44,0.703333,11.467271703
4068,Fall,one,1,Dry,10.454978,0.68375,14.61804882038
4186,Fall,one,1,Dry,8.915,0.71875,8.851601584026
3974,Fall,one,1,Dry,10.949978,0.702083,14.75239974226
4046,Fall,one,1,Rain,10.619978,0.6225,29.30478266262
3926,Fall,one,0,Dry,5.560022,0.519167,20.38575761836
3649,Fall,one,0,Dry,6.989978,0.734583,9.925815917276
4035,Fall,one,1,Dry,10.07,0.75875,6.1703302605
4205,Fall,one,1,Dry,10.949978,0.721667,7.44402228675
4109,Fall,one,1,Dry,10.4,0.758333,6.706310647724
2933,Fall,one,1,Rain,9.08,0.813333,20.38629674726
3368,Fall,one,0,Dry,5.395022,0.44625,33.9300773215
4067,Fall,one,0,Dry,7.540022,0.552917,22.86575055836
3717,Fall,one,0,Dry,13.094978,0.458333,30.37678656738
4486,Fall,one,1,Dry,18.98,0.587083,33.05895284488
4195,Fall,one,1,Rain,18.98,0.68875,21.52558393874
1817,Fall,one,1,Snow,14.140022,0.93,14.75369365162
3053,Fall,one,1,Rain,6.550022,0.575833,32.92589583236
3392,Fall,one,1,Dry,2.095022,0.41,18.17220218074
3663,Fall,one,0,Dry,5.725022,0.502083,24.20645630688
3520,Fall,one,0,Rain,14.579978,0.684583,20.050203791
2765,Fall,one,1,Snow,13.535,0.91,14.88578023212
1607,Fall,one,1,Snow,11.500022,0.9625,12.80884005776
2566,Fall,one,1,Rain,13.094978,0.757917,36.2105925685
1495,Fall,one,0,Dry,8.639978,0.549167,18.03968429712
2792,Fall,one,1,Dry,8.75,0.64375,10.663516773724
3068,Fall,one,0,Dry,8.804978,0.681667,7.377526128224
3071,Fall,one,0,Dry,14.305022,0.698333,22.53062803412
3867,Fall,one,1,Dry,17.229548,0.743043,15.32441550516
2914,Fall,one,1,Rain,14.249978,0.830833,27.82897121176
3613,Fall,one,1,Dry,5.45,0.613333,29.23782285324
3727,Fall,one,1,Dry,4.625,0.524583,23.73870807324
3940,Fall,one,1,Dry,4.735022,0.625833,10.86387863812
3614,Fall,one,0,Dry,3.745022,0.612917,10.327909033474
3485,Fall,one,0,Dry,5.8349780000000004,0.775833,9.052869184974
3811,Fall,one,1,Rain,9.464978,0.827083,6.707658469974
2594,Fall,one,1,Snow,14.525,0.949583,25.07844338974
705,Fall,one,1,Snow,11.06,0.970417,28.7005269915
3322,Fall,one,1,Dry,1.544978,0.58,25.88444109524
3620,Fall,one,1,Dry,3.194978,0.695833,8.918992696526
3190,Fall,one,0,Dry,2.15,0.5075,25.14723623738
2743,Fall,one,0,Dry,-1.425022,0.49,7.174910705026
3310,Fall,one,1,Dry,-0.270022000000001,0.670833,6.841545741
3523,Fall,one,1,Dry,2.645,0.59,15.154913379
3740,Fall,one,1,Rain,4.955,0.66375,6.572876244974
3709,Fall,one,1,Rain,11.885,0.634167,28.90183772276
3577,Fall,one,1,Rain,8.75,0.500417,28.0967026235
2739,Fall,one,0,Rain,1.049978,0.560833,26.21967144526
2431,Fall,one,0,Dry,-0.270022000000001,0.58625,18.30655310262
3403,Fall,one,1,Dry,2.260022,0.6375,18.64264605888
3750,Fall,one,1,Rain,9.464978,0.595417,6.638919535224
2660,Winter,one,1,Rain,12.269978,0.858333,23.872627692
3068,Winter,one,1,Rain,11.939978,0.7575,5.0974637495
2209,Winter,one,1,Dry,8.639978,0.68625,29.57078886188
1011,Winter,one,0,Dry,3.965,0.5425,20.51967723712
754,Winter,one,0,Dry,2.135678,0.681304,16.72280804598
1317,Winter,one,0,Dry,5.234774,0.506957,25.8205004077
1162,Winter,one,1,Rain,5.45,0.7625,20.319768241
2302,Winter,one,1,Dry,3.74258,0.50391300000000006,31.69657411458
2423,Winter,one,1,Dry,0.389977999999999,0.574167,12.87569204136
2999,Winter,one,1,Dry,4.570022,0.636667,14.48499180786
2485,Winter,one,0,Dry,11.06,0.615833,23.73827677012
2294,Winter,two,0,Dry,8.42,0.6925,20.72055666526
1951,Winter,two,0,Dry,2.020838,0.381304,35.5463857637
2236,Winter,two,1,Dry,-6.1,0.44125,39.42876079838
2368,Winter,two,1,Rain,-8.905,0.414583,19.915421566
3272,Winter,two,1,Dry,1.544978,0.524167,14.01594966486
4098,Winter,two,1,Dry,6.055022,0.542083,18.10481106824
4521,Winter,two,0,Dry,9.959978,0.531667,18.84341766124
3425,Winter,two,0,Dry,6.275,0.465,20.65316555276
2376,Winter,two,1,Rain,-1.204978,0.701667,10.663969642
3598,Winter,two,1,Dry,4.373936,0.646522,20.22294069056
2177,Winter,two,1,Rain,2.095022,0.8475,14.14900667738
4097,Winter,two,1,Rain,9.245,0.802917,19.51290792926
3214,Winter,two,1,Dry,2.095022,0.5075,40.76979002424
2493,Winter,two,0,Dry,-4.12,0.4575,20.18315297774
2311,Winter,two,0,Dry,-4.999978,0.419167,27.09208983124
2298,Winter,two,0,Dry,-3.46,0.5225,24.94635680924
2935,Winter,two,1,Rain,8.6208379999999991,0.716087,37.6452145714
3376,Winter,two,1,Dry,4.019978,0.443333,44.79395595962
3292,Winter,two,1,Dry,-3.46,0.4975,23.73870807324
3163,Winter,two,1,Rain,-1.645,0.45,21.861676895
1301,Winter,two,0,Rain,-4.560022,0.83125,24.00654731076
1977,Winter,two,0,Rain,-5.275,0.79625,21.52612306764
2432,Winter,two,1,Rain,-1.590022,0.91125,11.93717645224
4339,Winter,two,1,Dry,6.605,0.835833,13.34527331326
4270,Winter,two,1,Dry,3.415022,0.64375,17.36760621038
4075,Winter,two,1,Rain,6.550022,0.769583,7.913959383724
3456,Winter,two,1,Rain,12.05,0.74125,36.94833655526
4023,Winter,two,0,Dry,4.844978,0.543333,22.73280137162
3243,Winter,two,0,Dry,2.645,0.31125,25.883578489
3624,Winter,two,1,Dry,1.765022,0.400833,23.26794071776
4509,Winter,two,1,Dry,9.74,0.416667,28.23062224226
4579,Winter,two,1,Dry,14.965022,0.507917,20.38629674726
3761,Winter,two,1,Rain,10.345022,0.672917,20.18358428086
4151,Winter,two,1,Dry,4.679978,0.526667,19.24647042688
2832,Winter,two,0,Rain,1.435022,0.779583,13.14353127888
2947,Winter,two,0,Rain,1.544978,0.687917,18.97690597688
3784,Winter,two,1,Dry,2.652194,0.622174,16.583604964
4375,Winter,two,1,Dry,7.375022,0.49625,15.89125563062
2802,Winter,two,1,Rain,0.940021999999999,0.722917,14.41857112738
3830,Winter,two,1,Dry,1.49,0.562083,20.92219087386
3831,Winter,two,1,Rain,2.534978,0.54,12.60796062962
2169,Winter,two,0,Snow,-1.204978,0.73125,31.24747974088
1529,Winter,two,0,Dry,-7.585,0.464583,44.12360308536
3422,Winter,two,1,Dry,-1.315,0.41125,18.03741995574
3922,Winter,two,1,Rain,5.065022,0.50875,15.22273579462
4169,Winter,two,1,Dry,6.989978,0.53125,19.581161648
3005,Winter,two,1,Rain,4.900022,0.752917,9.8579719365
4154,Winter,two,1,Dry,6.659978,0.634583,22.19550550988
4318,Winter,two,0,Dry,6.880022,0.534583,20.58706834962
2689,Winter,two,0,Rain,2.48,0.515833,27.29199882736
3129,Winter,two,0,Dry,2.48,0.507826,24.70105315974
3777,Winter,two,1,Dry,2.996516,0.594348,22.18159598426
4773,Winter,two,1,Dry,10.124978,0.567917,25.28201846238
5062,Winter,two,1,Dry,13.975022,0.554583,20.58534313714
3487,Winter,two,1,Rain,10.895,0.7375,25.61584707726
2732,Winter,two,0,Dry,3.194978,0.395833,45.46387753076
3389,Winter,two,0,Dry,2.425022,0.41,22.12897700362
4322,Winter,two,1,Dry,8.200022,0.490833,28.90086729074
4363,Winter,two,1,Dry,7.705022,0.395833,20.85533889026
1834,Winter,two,1,Rain,6.726968,0.804783,19.31343023626
4990,Winter,two,1,Dry,16.064978,0.615417,24.47505032486
3194,Winter,two,1,Rain,7.319978,0.657083,15.62438682512
4066,Winter,two,0,Rain,11.335022,0.62125,17.36846881662
3423,Winter,two,0,Dry,5.504978,0.403333,36.07537904038
3333,Winter,two,1,Dry,0.059978000000001,0.50625,24.67679235924
3956,Winter,two,1,Dry,1.049978,0.456667,21.6595035575
4916,Winter,two,1,Dry,10.675022,0.513333,37.28389038262
5382,Winter,two,1,Dry,18.815,0.5675,47.61187489414
4569,Winter,two,1,Rain,11.114978,0.407083,44.726133544
4118,Winter,two,0,Dry,2.975,0.350417,24.341669835
4911,Winter,two,0,Dry,7.874774,0.476957,24.00061689286
5298,Winter,two,1,Dry,14.800022,0.489167,22.39681624114
5847,Winter,two,1,Dry,21.29,0.6175,25.549318571
6312,Winter,two,1,Dry,21.785,0.507083,12.40664989836
6192,Winter,two,1,Dry,20.795,0.579583,16.16125138374
